OTUID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	N1	N2	N3	N4	N5	N6	N7	N8	taxonomy
HQ864192.1.1500	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Tistrellales; D_4__Geminicoccaceae; D_5__uncultured; D_6__uncultured bacterium
KM108636.1.1509	1.0	0.0	1.0	2.0	2.0	2.0	0.0	0.0	453.0	469.0	8.0	16.0	12.0	0.0	0.0	0.0	13.0	12.0	15.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus sp. SG-1
HQ330573.1.1396	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Steroidobacterales; D_4__Steroidobacteraceae; D_5__uncultured
KF741280.1.1459	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	100.0	71.0	114.0	0.0	0.0	0.0	30.0	35.0	50.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU771840.1.1404	1.0	0.0	5.0	2.0	0.0	0.0	0.0	1.0	53.0	49.0	48.0	94.0	115.0	5.0	1.0	3.0	78.0	42.0	55.0	0.0	1.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Solibacillus; D_6__uncultured bacterium
KJ685888.1.1525	0.0	2.0	1.0	1.0	3.0	2.0	3.0	5.0	1.0	0.0	864.0	1294.0	731.0	12450.0	13538.0	14257.0	0.0	0.0	0.0	3691.0	2746.0	2308.0	4.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Virgibacillus
CP015378.146768.148325	0.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	7.0	5.0	2.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Fictibacillus
KJ191972.1.1452	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__uncultured; D_5__uncultured bacterium; D_6__uncultured bacterium
KR029299.1.1517	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	263.0	216.0	212.0	0.0	0.0	0.0	55.0	66.0	61.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Sporosarcina
CP015027.1029839.1031395	0.0	1.0	3.0	1.0	4.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	20.0	28.0	11.0	0.0	0.0	0.0	7.0	3.0	8.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Sporosarcina
KR088549.1.1526	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Micrococcaceae; D_5__Arthrobacter; D_6__Arthrobacter sp. F7
KJ767384.1.1524	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	290.0	435.0	375.0	0.0	0.0	0.0	8.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU621383.1.1273	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	6.0	8.0	21.0	36.0	25.0	3.0	4.0	4.0	10.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus cereus
