OTU ID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	N1	N2	N3	N4	N5	N6	N7	N8	taxonomy
JX293295.1.1455	4.0	1.0	3.0	3.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	4.0	0.0	1.0	0.0	1.0	4.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
OTU_dn_36	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	68.0	62.0	68.0	0.0	0.0	0.0	54.0	63.0	110.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus sp.
HQ453970.1.1570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	123.0	82.0	109.0	620.0	635.0	485.0	0.0	0.0	0.0	287.0	308.0	270.0	1.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Virgibacillus
CP003017.4738540.4740093	3.0	3.0	2.0	2.0	3.0	1.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	5.0	4.0	1.0	1.0	0.0	4.0	7.0	3.0	8.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AB533926.1.1539	6.0	2.0	2.0	5.0	9.0	6.0	8.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	8.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
KC554661.1.1526	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Geodermatophilaceae; D_5__Blastococcus; D_6__uncultured bacterium
KJ882402.1.1473	4.0	3.0	2.0	3.0	3.0	3.0	4.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	4.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
DQ148952.1.1551	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	178.0	159.0	194.0	223.0	198.0	3.0	0.0	2.0	201.0	190.0	152.0	0.0	1.0	0.0	1.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AY148429.1.1547	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	16.0	9.0	11.0	0.0	0.0	0.0	3.0	1.0	6.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
KR029371.1.1539	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
OTU_dn_38	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Bdellovibrionales; D_4__Bdellovibrionaceae; D_5__Bdellovibrio
KM108636.1.1509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449.0	441.0	8.0	11.0	9.0	0.0	0.0	0.0	11.0	12.0	14.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus sp. SG-1
KF741280.1.1459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	24.0	12.0	25.0	0.0	0.0	0.0	16.0	22.0	37.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU771840.1.1404	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	53.0	48.0	45.0	67.0	94.0	1.0	1.0	1.0	59.0	42.0	50.0	0.0	1.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Solibacillus; D_6__uncultured bacterium
